name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
TestSeterr,1,,1,,,,,,,,CapitalizedWords,"['test', 'seterr']"
save_kwds,2,,,,,,,,,2,lower_case_with_underscores,"['save', 'kwds']"
issubsctype,2,1,,1,,,,,,,lowercase,['issubsctype']
yellow,1,,,,,,1,,,,lowercase,['yellow']
use_promote_types,2,,,,,,,,,2,lower_case_with_underscores,"['use', 'promote', 'types']"
test_parse_gufunc_signature,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'parse', 'gufunc', 'signature']"
prefix,75,,,,,,12,,,63,lowercase,['prefix']
fout,7,,,,,,,,,7,lowercase,['fout']
test_hermegrid2d,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'hermegrid2d']"
marray,6,,,,,,,,,6,lowercase,['marray']
test_array_with_context,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'array', 'with', 'context']"
dtype_to_descr,3,1,,,,,,,,2,lower_case_with_underscores,"['dtype', 'to', 'descr']"
cnv,2,,,,,,,,,2,lowercase,['cnv']
WarningManager,1,,1,,,,,,,,CapitalizedWords,"['warning', 'manager']"
hasexternals,12,1,,1,,,,,,10,lowercase,['hasexternals']
runstring,4,1,,1,,,,,,2,lowercase,['runstring']
selected_int_kind_re,2,,,,,,,,,2,lower_case_with_underscores,"['selected', 'int', 'kind', 're']"
LONG_DOUBLE_REPRESENTATION_SRC,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['long', 'double', 'representation', 'src']"
old_objects,3,,,,,,,,,3,lower_case_with_underscores,"['old', 'objects']"
test_invalid_raise_with_usecols,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'invalid', 'raise', 'with', 'usecols']"
check_embedded_lapack,3,2,,,,,,,,1,lower_case_with_underscores,"['check', 'embedded', 'lapack']"
test_generalized_herm_cases,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'generalized', 'herm', 'cases']"
baseshape,6,,,,,,,,,6,lowercase,['baseshape']
test_concatenate_flexible,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'concatenate', 'flexible']"
unix2dos_one_dir,2,1,,,,,,,,1,lower_case_with_underscores,"['unix2dos', 'one', 'dir']"
last_trim,4,,,,,,,,,4,lower_case_with_underscores,"['last', 'trim']"
_dict_append,3,1,,,,,,,,2,lower_case_with_underscores,"['dict', 'append']"
warningtype,2,,,,,,,,,2,lowercase,['warningtype']
test_export_flags,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'export', 'flags']"
chebint,31,1,,,,,,,,30,lowercase,['chebint']
TestConcatenator,2,,2,,,,,,,,CapitalizedWords,"['test', 'concatenator']"
test_inner_product_with_various_contiguities,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'inner', 'product', 'with', 'various', 'contiguities']"
does_not_raise_exception,2,1,,,,,,,,1,lower_case_with_underscores,"['does', 'not', 'raise', 'exception']"
functions_seem_flaky,2,,,,,,,,,2,lower_case_with_underscores,"['functions', 'seem', 'flaky']"
_append_max,2,1,,,,,,,,1,lower_case_with_underscores,"['append', 'max']"
test_iter_buffered_reduce_reuse,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'iter', 'buffered', 'reduce', 'reuse']"
_defaultfunc,1,,,,,,,,,1,lowercase,['defaultfunc']
regenerate,5,,,,,,,,,5,lowercase,['regenerate']
twodim_base,4,,,3,,,,,,1,lower_case_with_underscores,"['twodim', 'base']"
f90_return_char,1,,,,,,,,,1,lower_case_with_underscores,"['f90', 'return', 'char']"
test_wrap_with_iterable,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'wrap', 'with', 'iterable']"
bdist_egg,3,,,1,,,,,,2,lower_case_with_underscores,"['bdist', 'egg']"
bdist_superpack,1,1,,,,,,,,,lower_case_with_underscores,"['bdist', 'superpack']"
test_ndmin_order,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'ndmin', 'order']"
test_complex_nan_maximum,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'complex', 'nan', 'maximum']"
AnyAll,1,,1,,,,,,,,CapitalizedWords,"['any', 'all']"
test_iter_buffering_delayed_alloc,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'iter', 'buffering', 'delayed', 'alloc']"
hermgrid3d,3,1,,,,,,,,2,lowercase,['hermgrid3d']
TestG77Versions,1,,1,,,,,,,,CapitalizedWords,"['test', 'g77', 'versions']"
test_basic_arithmetic,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'basic', 'arithmetic']"
tdzero,3,,,,,,,,,3,lowercase,['tdzero']
AnyChar,2,,,,,,,,,2,CapitalizedWords,"['any', 'char']"
_from_string,2,1,,,,,,,,1,lower_case_with_underscores,"['from', 'string']"
second,6,,,,,,,,,6,lowercase,['second']
test_datetime_maximum_reduce,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetime', 'maximum', 'reduce']"
p_r,6,,,,,,,,,6,lower_case_with_underscores,"['p', 'r']"
skipblocksuntil,14,,,,,,,,2,12,lowercase,['skipblocksuntil']
beginpattern,9,,,,,,,,2,7,lowercase,['beginpattern']
mdata,10,,,,,,,,,10,lowercase,['mdata']
b01,3,,,,,,,,,3,lowercase,['b01']
errors,35,,,13,,,,,,22,lowercase,['errors']
npy_pkg_config,4,,,4,,,,,,,lower_case_with_underscores,"['npy', 'pkg', 'config']"
U_max,4,,,,,,,,,4,ugly,"['u', 'max']"
time_float_add_temp,1,1,,,,,,,,,lower_case_with_underscores,"['time', 'float', 'add', 'temp']"
locdoc,2,,,,,,,,,2,lowercase,['locdoc']
assubr,2,1,,,,,,,,1,lowercase,['assubr']
test_asfarray,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'asfarray']"
tmpfilename,6,,,,,,,,,6,lowercase,['tmpfilename']
increasing,2,,,,,,,,,2,lowercase,['increasing']
valmask,8,,,,,,,,,8,lowercase,['valmask']
test_shuffle,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'shuffle']"
_collapse,10,1,,,,,,,,9,lowercase,['collapse']
TestFlags,1,,1,,,,,,,,CapitalizedWords,"['test', 'flags']"
herm,137,,,,,,,1,,136,lowercase,['herm']
path_atoms,4,,,,,,,,,4,lower_case_with_underscores,"['path', 'atoms']"
TestFinancial,1,,1,,,,,,,,CapitalizedWords,"['test', 'financial']"
error,17,1,,3,,,,,,13,lowercase,['error']
invalid_call_errmask,2,,,,,,,,,2,lower_case_with_underscores,"['invalid', 'call', 'errmask']"
mode_equivalents,3,,,,,,,,,3,lower_case_with_underscores,"['mode', 'equivalents']"
_array_descr,4,1,,,,,,,,3,lower_case_with_underscores,"['array', 'descr']"
torecords,1,,,,,,,,,1,lowercase,['torecords']
private_defines,7,,,,,,,,,7,lower_case_with_underscores,"['private', 'defines']"
key_value_from_command,4,1,,,,,,,,3,lower_case_with_underscores,"['key', 'value', 'from', 'command']"
slobj,29,,,,,,,,,29,lowercase,['slobj']
ldict,7,,,,,,3,,,4,lowercase,['ldict']
test_gft_using_generator,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'gft', 'using', 'generator']"
test_hermtrim,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'hermtrim']"
test_complex_nan_comparisons,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'complex', 'nan', 'comparisons']"
buffer_type,3,,,,,,,,,3,lower_case_with_underscores,"['buffer', 'type']"
k,1187,,,,,,112,,,1075,b,['k']
datapattern,2,,,,,,,,,2,lowercase,['datapattern']
masked_greater,5,1,,2,,,,,,2,lower_case_with_underscores,"['masked', 'greater']"
get_file_template,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'file', 'template']"
LaheyFCompiler,1,,1,,,,,,,,CapitalizedWords,"['lahey', 'f', 'compiler']"
test_bool_commastring,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'bool', 'commastring']"
TestIdentityComparisonDeprecations,1,,1,,,,,,,,CapitalizedWords,"['test', 'identity', 'comparison', 'deprecations']"
dependencies,4,2,,,,,,,,2,lowercase,['dependencies']
test_std_values,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'std', 'values']"
_get_hg_revision,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'hg', 'revision']"
packages_to_install,1,,,,,,1,,,,lower_case_with_underscores,"['packages', 'to', 'install']"
test_legvander,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'legvander']"
Randint_dtype,1,,1,,,,,,,,ugly,"['randint', 'dtype']"
test_norm_vector_badarg,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'norm', 'vector', 'badarg']"
